timestamp,views,likes,comments
2026-09-20T00:00:25.235714+00:00,97,3,2
2026-09-20T01:00:22.364162+00:00,232,9,2
2026-09-20T02:02:20.076045+00:00,325,13,3
2026-09-20T03:00:52.502551+00:00,3235,66,31
2026-09-20T04:00:50.875138+00:00,4973,85,39
2026-09-20T05:00:50.509379+00:00,35027,91,42
2026-09-20T06:01:12.710736+00:00,41690,99,42
2026-09-20T07:01:22.852378+00:00,43213,103,42
2026-09-20T08:01:13.681111+00:00,43595,102,42
2026-09-20T09:00:48.974515+00:00,43765,104,42
2026-09-20T10:01:17.734299+00:00,43950,104,42
2026-09-20T11:01:04.142213+00:00,44055,104,42
2026-09-20T12:00:56.397713+00:00,44189,105,42
2026-09-20T13:01:25.750004+00:00,44262,108,41
2026-09-20T14:00:48.760493+00:00,44381,108,41
