timestamp,views,likes,comments
2026-09-16T19:01:16.084538+00:00,114,2,0
2026-09-16T20:00:58.943467+00:00,768,18,2
2026-09-16T21:01:36.157429+00:00,908,30,7
2026-09-16T22:01:13.751532+00:00,910,33,7
2026-09-16T23:01:10.333868+00:00,910,34,7
2026-09-17T00:00:51.362036+00:00,2194,35,7
2026-09-17T01:00:59.730660+00:00,4208,35,7
2026-09-17T02:01:11.247114+00:00,5065,35,7
2026-09-17T03:00:47.039567+00:00,5518,35,7
2026-09-17T04:01:13.359542+00:00,5748,36,7
2026-09-17T05:00:48.527700+00:00,5893,36,7
2026-09-17T06:01:49.876091+00:00,5910,36,7
