timestamp,views,likes,comments
2026-09-21T00:00:29.140448+00:00,35444,303,52
2026-09-21T02:00:26.937637+00:00,44605,344,56
2026-09-21T03:00:29.928692+00:00,49262,361,59
2026-09-21T04:00:29.708687+00:00,53193,371,60
2026-09-21T05:00:26.943739+00:00,56427,385,61
2026-09-21T23:00:28.737669+00:00,84005,506,71
2026-09-22T00:00:31.229217+00:00,84537,512,72
2026-09-22T06:00:28.417132+00:00,87285,521,73
2026-09-22T23:09:58.708774+00:00,92048,553,73
2026-09-23T00:00:28.655412+00:00,92212,554,73
2026-09-23T03:00:27.461521+00:00,93122,560,73
