timestamp,views,likes,comments
2026-09-12T15:01:07.790021+00:00,729,33,5
2026-09-12T16:01:24.407162+00:00,2023,102,34
2026-09-12T17:01:19.861935+00:00,5451,239,90
2026-09-12T18:01:13.335878+00:00,6718,388,146
2026-09-12T19:01:12.686132+00:00,9869,506,194
2026-09-12T20:00:43.411396+00:00,16493,633,252
2026-09-12T21:01:07.088665+00:00,27467,724,290
2026-09-12T22:00:42.028987+00:00,42209,814,310
2026-09-12T23:00:56.874192+00:00,53627,899,339
2026-09-13T00:00:52.126353+00:00,70420,974,361
2026-09-13T01:00:42.375791+00:00,78726,1037,378
2026-09-13T02:00:39.099250+00:00,84670,1101,390
2026-09-13T03:00:48.140922+00:00,93354,1184,411
2026-09-13T04:01:07.573231+00:00,102145,1253,427
2026-09-13T05:00:57.059900+00:00,110078,1325,440
2026-09-13T06:01:10.420341+00:00,119190,1369,454
2026-09-13T07:01:06.091756+00:00,127849,1435,464
2026-09-13T08:01:12.889049+00:00,137368,1502,479
2026-09-13T09:01:15.329790+00:00,145563,1569,495
2026-09-13T10:00:55.554921+00:00,160893,1634,516
2026-09-13T11:01:14.157710+00:00,163154,1699,532
2026-09-13T12:01:23.666613+00:00,168896,1773,543
2026-09-13T13:00:41.133348+00:00,176119,1837,576
2026-09-13T14:00:42.081136+00:00,184240,1873,583
2026-09-13T15:01:06.750053+00:00,193832,1922,591
2026-09-13T16:01:16.511830+00:00,202016,1958,607
2026-09-13T17:01:13.053708+00:00,210151,2003,615
2026-09-13T18:01:15.561094+00:00,216244,2035,621
2026-09-13T19:00:56.159746+00:00,216521,2051,626
2026-09-13T20:01:19.501385+00:00,218906,2081,630
2026-09-13T21:00:41.627439+00:00,223222,2112,633
2026-09-13T22:00:58.092438+00:00,227109,2132,636
2026-09-13T23:00:57.472324+00:00,234324,2141,637
2026-09-13T23:47:57.823258+00:00,235295,2157,639
2026-09-14T00:00:28.792467+00:00,235457,2162,639
2026-09-14T01:01:15.859739+00:00,236343,2183,641
2026-09-14T02:01:19.296709+00:00,242075,2196,641
2026-09-14T03:00:59.699718+00:00,243401,2213,643
2026-09-14T04:00:57.660741+00:00,248024,2229,643
2026-09-14T05:00:37.528883+00:00,248822,2248,649
2026-09-14T06:00:48.434127+00:00,252002,2259,656
2026-09-14T07:01:09.139490+00:00,252760,2278,657
2026-09-14T08:01:11.133321+00:00,254103,2303,665
2026-09-14T09:01:08.253937+00:00,258942,2341,675
2026-09-14T10:01:29.823506+00:00,265163,2378,683
2026-09-14T11:01:06.943969+00:00,267406,2423,699
2026-09-14T12:00:43.107309+00:00,269666,2486,716
2026-09-14T13:00:45.215705+00:00,274916,2554,729
2026-09-14T14:00:46.794576+00:00,282820,2636,745
2026-09-14T15:01:17.594424+00:00,294364,2751,765
2026-09-14T16:01:17.622367+00:00,314008,2852,795
2026-09-14T17:01:32.496041+00:00,327519,2955,831
