timestamp,views,likes,comments
2026-09-10T00:00:48.172022+00:00,1054,37,3
2026-09-10T01:01:04.226417+00:00,3495,46,5
2026-09-10T02:01:15.288735+00:00,4314,53,5
2026-09-10T03:00:48.388217+00:00,5699,56,5
2026-09-10T04:01:16.935479+00:00,15242,60,5
2026-09-10T05:00:59.179975+00:00,16734,62,5
2026-09-10T06:00:56.500411+00:00,16977,64,5
2026-09-10T07:00:38.519426+00:00,17298,66,5
2026-09-10T08:00:50.070785+00:00,17948,67,5
2026-09-10T09:01:05.653446+00:00,18504,67,6
2026-09-10T10:00:45.486055+00:00,18906,69,6
2026-09-10T11:00:34.315584+00:00,19585,70,6
2026-09-10T12:01:24.421467+00:00,19668,71,6
2026-09-10T13:00:59.316414+00:00,19763,71,6
