timestamp,views,likes,comments
2026-09-18T14:01:27.080066+00:00,76,9,0
2026-09-18T15:00:52.917880+00:00,620,37,2
2026-09-18T16:01:20.110598+00:00,812,49,5
2026-09-18T17:01:08.220644+00:00,2459,56,8
2026-09-18T18:01:17.934467+00:00,3833,56,8
2026-09-18T19:01:30.142134+00:00,5298,56,8
2026-09-18T20:01:12.735072+00:00,6370,59,9
2026-09-18T21:01:26.591674+00:00,7106,59,9
2026-09-18T22:01:10.634413+00:00,7641,63,9
2026-09-18T23:00:55.213507+00:00,7983,64,11
2026-09-19T00:01:14.636404+00:00,8246,68,11
2026-09-19T01:01:11.210877+00:00,8467,69,11
2026-09-19T02:00:56.448401+00:00,8739,70,11
2026-09-19T03:01:05.409190+00:00,9016,71,12
