timestamp,views,likes,comments
2026-09-15T17:01:07.256675+00:00,697,25,2
2026-09-15T18:00:58.458826+00:00,1073,46,4
2026-09-15T19:01:31.798560+00:00,1247,54,10
2026-09-15T20:00:44.427811+00:00,1263,61,14
2026-09-15T21:01:12.990731+00:00,1778,72,15
2026-09-15T22:01:36.549513+00:00,3918,83,17
2026-09-15T23:01:28.001705+00:00,6153,97,18
2026-09-16T00:00:39.236229+00:00,7646,107,18
2026-09-16T01:01:07.301342+00:00,9080,114,19
2026-09-16T02:01:05.629970+00:00,10353,119,19
2026-09-16T03:00:45.503672+00:00,11553,128,19
2026-09-16T04:01:04.118681+00:00,12867,133,19
2026-09-16T05:00:41.115526+00:00,14143,138,20
2026-09-16T06:01:13.453718+00:00,15376,143,23
2026-09-16T07:01:12.243416+00:00,16650,145,23
2026-09-16T08:00:48.871802+00:00,17791,150,23
