timestamp,views,likes,comments
2026-09-14T18:00:36.185554+00:00,232,3,5
2026-09-14T19:01:13.119473+00:00,355,7,7
2026-09-14T20:01:23.041809+00:00,1127,8,15
2026-09-14T21:00:57.255932+00:00,1766,8,16
2026-09-14T22:01:19.228246+00:00,2329,8,42
2026-09-14T23:01:30.169938+00:00,3146,10,37
2026-09-15T00:01:03.411924+00:00,3797,12,15
2026-09-15T01:00:47.361532+00:00,4424,15,12
2026-09-15T02:00:49.538184+00:00,4871,15,12
2026-09-15T03:00:57.605246+00:00,5300,16,12
2026-09-15T04:00:43.920900+00:00,5874,17,12
2026-09-15T05:01:25.280747+00:00,6116,19,12
2026-09-15T06:00:50.556025+00:00,6356,20,13
2026-09-15T07:01:06.720167+00:00,6528,20,13
2026-09-15T08:00:33.066611+00:00,6719,19,13
2026-09-15T09:01:04.722697+00:00,6908,21,13
2026-09-15T10:01:10.515200+00:00,7157,21,13
2026-09-15T11:00:43.175536+00:00,7243,22,13
2026-09-15T12:01:01.230062+00:00,7321,23,13
2026-09-15T13:00:48.975244+00:00,7483,24,14
2026-09-15T14:00:58.654325+00:00,7617,25,15
2026-09-15T15:00:35.177017+00:00,7749,25,15
2026-09-15T16:01:48.930113+00:00,7885,27,15
2026-09-15T17:01:05.370046+00:00,7995,27,15
2026-09-15T18:00:56.365016+00:00,8035,27,16
