timestamp,views,likes,comments
2026-09-14T06:00:49.309385+00:00,193,12,2
2026-09-14T07:01:10.217660+00:00,368,23,4
2026-09-14T08:01:12.099276+00:00,668,32,4
2026-09-14T09:01:09.285223+00:00,2861,38,4
2026-09-14T10:01:30.812278+00:00,5273,39,7
2026-09-14T11:01:08.057723+00:00,5453,42,7
2026-09-14T12:00:44.193293+00:00,5710,45,10
2026-09-14T13:00:46.280904+00:00,6124,48,10
2026-09-14T14:00:47.730200+00:00,6608,51,10
2026-09-14T15:01:18.645821+00:00,7299,51,11
2026-09-14T16:01:18.597682+00:00,7922,51,11
2026-09-14T17:01:33.839317+00:00,8124,53,11
2026-09-14T18:00:34.670542+00:00,8254,54,13
2026-09-14T19:01:11.541488+00:00,8391,59,13
2026-09-14T20:01:21.566580+00:00,8527,62,15
2026-09-14T21:00:55.798289+00:00,8642,64,15
2026-09-14T22:01:17.669236+00:00,8768,63,15
2026-09-14T23:01:28.683178+00:00,8895,66,15
2026-09-15T00:01:01.803958+00:00,8970,67,15
2026-09-15T01:00:45.795382+00:00,9098,69,15
2026-09-15T02:00:47.827785+00:00,9142,70,15
2026-09-15T03:00:55.788000+00:00,9195,73,16
2026-09-15T04:00:42.167517+00:00,9297,75,16
2026-09-15T05:01:23.097622+00:00,9366,75,16
2026-09-15T06:00:49.030319+00:00,9427,76,17
2026-09-15T07:01:05.058644+00:00,9495,76,17
2026-09-15T08:00:31.415294+00:00,9584,78,17
2026-09-15T09:01:02.723603+00:00,9696,80,17
2026-09-15T10:01:08.887171+00:00,9891,81,17
2026-09-15T11:00:41.382376+00:00,9986,83,18
2026-09-15T12:00:58.527695+00:00,10059,83,18
2026-09-15T13:00:47.363920+00:00,10168,84,19
2026-09-15T14:00:56.712513+00:00,10256,84,21
2026-09-15T15:00:33.409607+00:00,10371,84,21
2026-09-15T16:01:47.200111+00:00,10457,89,21
2026-09-15T17:01:03.777046+00:00,10505,93,21
2026-09-15T18:00:54.276027+00:00,10510,95,21
2026-09-15T19:01:27.725034+00:00,10533,95,23
2026-09-15T20:00:40.773324+00:00,10634,99,23
2026-09-15T21:01:09.406761+00:00,10726,100,23
2026-09-15T22:01:33.385494+00:00,10818,101,23
2026-09-15T23:01:24.968847+00:00,10922,99,23
2026-09-16T00:00:36.185663+00:00,11015,99,23
2026-09-16T01:01:03.296417+00:00,11102,100,23
2026-09-16T02:01:02.523058+00:00,11190,100,23
2026-09-16T03:00:44.571992+00:00,11251,100,24
2026-09-16T04:00:14.262288+00:00,11308,102,24
2026-09-16T05:00:14.727954+00:00,11367,102,24
2026-09-16T06:00:12.938569+00:00,11436,102,24
2026-09-16T23:01:01.283528+00:00,12663,110,25
2026-09-19T02:00:13.378201+00:00,13799,118,26
