timestamp,views,likes,comments
2026-09-18T21:01:27.535247+00:00,73,1,8
2026-09-18T22:01:11.521273+00:00,762,33,15
2026-09-18T23:00:56.261061+00:00,1898,41,16
2026-09-19T00:01:15.447732+00:00,4652,56,43
2026-09-19T01:01:12.099820+00:00,5666,74,16
2026-09-19T02:00:57.258019+00:00,8580,84,19
2026-09-19T03:01:04.539986+00:00,11049,83,19
2026-09-19T04:00:50.806725+00:00,12436,85,19
2026-09-19T05:01:05.528981+00:00,13506,84,19
2026-09-19T06:01:13.089063+00:00,14271,86,19
2026-09-19T07:01:14.968184+00:00,14684,86,19
2026-09-19T08:01:28.835828+00:00,14819,86,20
2026-09-19T09:00:53.872688+00:00,14915,86,20
2026-09-19T10:00:43.733080+00:00,15014,86,20
