timestamp,views,likes,comments
2026-09-21T17:01:29.349626+00:00,60,0,0
2026-09-21T18:00:44.756070+00:00,139,2,0
2026-09-21T19:00:53.605511+00:00,224,6,0
2026-09-21T20:02:12.040171+00:00,348,7,0
2026-09-21T21:01:05.006118+00:00,456,8,1
2026-09-21T22:00:52.253407+00:00,648,10,1
2026-09-21T23:00:51.424815+00:00,855,12,1
2026-09-22T00:01:20.247612+00:00,1065,12,1
2026-09-22T01:01:24.615259+00:00,1378,14,1
2026-09-22T02:01:26.885210+00:00,1562,14,1
2026-09-22T03:01:02.042703+00:00,1731,14,1
2026-09-22T04:00:48.900259+00:00,1879,14,1
2026-09-22T05:01:19.960979+00:00,2036,14,1
2026-09-22T06:00:46.560517+00:00,2178,16,1
2026-09-22T07:01:19.902114+00:00,2294,16,1
2026-09-22T08:01:11.540140+00:00,2470,16,1
2026-09-22T09:01:40.190119+00:00,2609,16,1
2026-09-22T10:01:51.602376+00:00,2793,18,1
2026-09-22T11:01:06.940401+00:00,2855,18,2
2026-09-22T12:01:03.037506+00:00,2910,19,2
2026-09-22T13:01:37.239071+00:00,3021,20,2
2026-09-22T14:01:16.738761+00:00,3127,24,2
2026-09-22T15:00:51.003555+00:00,3239,25,2
2026-09-22T16:01:08.638403+00:00,3341,26,2
2026-09-22T17:01:17.014710+00:00,3462,27,2
2026-09-22T18:01:23.713551+00:00,3568,28,3
2026-09-22T19:01:27.810669+00:00,3677,30,3
2026-09-22T20:01:14.888205+00:00,3781,31,3
2026-09-22T21:00:48.647939+00:00,3890,31,3
2026-09-22T22:01:25.643160+00:00,3980,31,3
2026-09-22T23:00:59.957123+00:00,4047,31,3
2026-09-23T00:01:20.517755+00:00,4093,31,3
