timestamp,views,likes,comments
2026-09-11T19:01:12.580709+00:00,0,2,4
2026-09-11T20:01:21.677734+00:00,345,6,8
2026-09-11T21:01:10.744090+00:00,472,8,7
2026-09-11T22:01:22.723485+00:00,663,9,7
2026-09-11T23:00:46.800736+00:00,867,9,7
2026-09-12T00:01:27.359491+00:00,2167,10,7
2026-09-12T01:00:50.756782+00:00,2507,10,7
2026-09-12T02:00:48.077933+00:00,2650,11,7
2026-09-12T03:01:13.636117+00:00,2853,11,7
2026-09-12T04:00:55.478305+00:00,3244,11,7
2026-09-12T05:01:02.526739+00:00,3421,12,7
2026-09-12T06:01:20.427699+00:00,3575,12,7
2026-09-12T07:00:50.964952+00:00,3704,12,7
2026-09-12T08:00:58.170823+00:00,3822,12,7
