timestamp,views,likes,comments
2026-09-11T10:00:45.445964+00:00,0,0,0
2026-09-11T11:00:57.830420+00:00,547,17,2
2026-09-11T12:01:23.877068+00:00,1309,35,8
2026-09-11T13:00:33.475383+00:00,1871,53,16
2026-09-11T14:01:09.582362+00:00,2403,71,20
2026-09-11T15:01:13.203120+00:00,3269,85,24
2026-09-11T16:00:29.867533+00:00,5022,95,27
2026-09-11T17:01:01.155185+00:00,6992,99,28
2026-09-11T18:01:19.738833+00:00,9219,102,32
2026-09-11T19:01:11.746290+00:00,10110,104,32
2026-09-11T20:01:20.871821+00:00,12104,108,35
2026-09-11T21:01:10.087862+00:00,13056,111,37
2026-09-11T22:01:22.011028+00:00,13752,112,37
