timestamp,views,likes,comments
2026-09-14T14:00:48.510764+00:00,116,6,0
2026-09-14T15:01:19.418192+00:00,668,46,3
2026-09-14T16:01:19.197885+00:00,1420,76,4
2026-09-14T17:01:34.617751+00:00,2074,89,7
2026-09-14T18:00:35.271587+00:00,2918,100,8
2026-09-14T19:01:12.177495+00:00,4439,112,8
2026-09-14T20:01:22.179612+00:00,6219,149,9
2026-09-14T21:00:56.575756+00:00,8026,174,12
2026-09-14T22:01:18.521590+00:00,9911,180,15
2026-09-14T23:01:29.417665+00:00,11323,191,19
2026-09-15T00:01:02.531584+00:00,12561,204,20
2026-09-15T01:00:46.575761+00:00,13604,210,22
2026-09-15T02:00:48.596962+00:00,14152,220,22
2026-09-15T03:00:56.680404+00:00,14748,233,24
2026-09-15T04:00:43.174241+00:00,15566,248,24
2026-09-15T05:01:24.016739+00:00,16148,263,25
2026-09-15T06:00:49.683035+00:00,16831,299,34
2026-09-15T07:01:05.899999+00:00,17558,326,37
2026-09-15T08:00:32.205749+00:00,18707,365,37
2026-09-15T09:01:03.697089+00:00,19773,392,38
2026-09-15T10:01:09.657577+00:00,21596,444,38
2026-09-15T11:00:42.090022+00:00,22449,515,44
2026-09-15T12:01:00.120446+00:00,23565,609,48
2026-09-15T13:00:48.136134+00:00,25178,717,53
2026-09-15T14:00:57.563065+00:00,27376,817,57
