timestamp,views,likes,comments
2026-09-17T06:01:51.107325+00:00,0,0,0
2026-09-17T07:00:52.322304+00:00,81,4,0
2026-09-17T08:00:46.667574+00:00,159,5,1
2026-09-17T09:01:24.184932+00:00,215,6,1
2026-09-17T10:00:42.797390+00:00,265,6,1
2026-09-17T11:01:25.980377+00:00,302,7,1
2026-09-17T12:01:28.072101+00:00,350,7,1
2026-09-17T13:01:31.365310+00:00,416,9,1
2026-09-17T14:01:30.801428+00:00,488,11,1
2026-09-17T15:01:20.314312+00:00,583,14,1
2026-09-17T16:01:21.889357+00:00,682,16,1
2026-09-17T17:01:20.536402+00:00,803,16,1
2026-09-17T18:00:46.086225+00:00,924,18,1
