timestamp,views,likes,comments
2026-09-18T22:01:11.590045+00:00,34,2,1
2026-09-18T23:00:56.373339+00:00,285,8,2
2026-09-19T00:01:15.508678+00:00,758,9,2
2026-09-19T01:01:12.192219+00:00,2036,6,2
2026-09-19T02:00:57.326582+00:00,2549,6,2
2026-09-19T03:01:04.251483+00:00,3639,7,2
2026-09-19T04:00:19.863537+00:00,4489,10,2
2026-09-19T05:00:24.888302+00:00,5282,10,3
2026-09-19T10:00:19.185893+00:00,7136,15,4
2026-09-20T00:00:21.799817+00:00,9123,20,5
2026-09-20T01:00:19.559870+00:00,9128,20,5
2026-09-20T02:02:14.845491+00:00,9128,20,5
2026-09-20T03:00:49.930541+00:00,9287,20,5
2026-09-20T04:00:48.043756+00:00,9339,21,5
2026-09-20T05:00:47.859543+00:00,9339,21,5
2026-09-20T06:01:10.220508+00:00,9417,21,5
2026-09-20T07:01:20.291939+00:00,9410,21,5
2026-09-20T08:01:11.282393+00:00,9451,21,5
2026-09-20T09:00:46.863990+00:00,9451,21,5
2026-09-20T10:01:15.208070+00:00,9564,21,5
