timestamp,views,likes,comments
2026-09-17T14:01:31.264643+00:00,158,3,0
2026-09-17T15:01:20.860888+00:00,349,5,1
2026-09-17T16:01:22.486775+00:00,427,10,1
2026-09-17T17:01:21.104549+00:00,534,21,2
2026-09-17T18:00:46.512206+00:00,572,25,3
2026-09-17T19:01:06.413363+00:00,1779,30,9
2026-09-17T20:01:19.648232+00:00,2681,36,10
2026-09-17T21:00:59.094926+00:00,3767,39,10
2026-09-17T22:01:30.757048+00:00,5209,42,11
2026-09-17T23:00:52.555183+00:00,6335,45,14
2026-09-18T00:01:12.550257+00:00,7360,47,15
2026-09-18T01:01:05.701094+00:00,8228,50,17
2026-09-18T02:01:19.895490+00:00,8985,50,18
2026-09-18T03:01:00.988075+00:00,9719,54,18
2026-09-18T04:01:21.063696+00:00,10295,56,19
2026-09-18T05:01:08.696649+00:00,10784,59,20
2026-09-18T06:01:27.575511+00:00,11306,62,20
2026-09-18T07:01:14.771439+00:00,11832,63,20
2026-09-18T08:00:56.245141+00:00,12187,64,20
2026-09-18T09:01:11.427345+00:00,12381,59,20
2026-09-18T10:01:11.938166+00:00,12749,62,20
2026-09-18T11:00:45.984561+00:00,12784,63,20
2026-09-18T12:01:21.401021+00:00,12784,63,20
2026-09-18T13:01:31.342895+00:00,12784,64,20
2026-09-18T14:01:24.714490+00:00,12784,65,20
2026-09-18T15:00:50.585719+00:00,12784,66,20
2026-09-18T16:01:17.395308+00:00,13032,66,20
2026-09-18T17:01:05.990778+00:00,13275,66,20
2026-09-18T18:01:15.784394+00:00,13429,66,20
