timestamp,views,likes,comments
2026-09-21T14:01:12.889865+00:00,1214,46,14
2026-09-21T15:00:54.808914+00:00,1940,66,22
2026-09-21T16:01:23.635322+00:00,4207,86,31
2026-09-21T17:01:28.898969+00:00,7338,100,34
2026-09-21T18:00:44.317420+00:00,11413,106,35
2026-09-21T19:00:53.014655+00:00,14338,115,35
2026-09-21T20:02:11.619766+00:00,16584,120,43
2026-09-21T21:01:04.536975+00:00,18021,122,44
2026-09-21T22:00:51.786441+00:00,19848,126,44
2026-09-21T23:00:50.947406+00:00,21325,129,44
2026-09-22T00:01:19.814033+00:00,22603,131,48
2026-09-22T01:01:24.186730+00:00,23654,133,48
2026-09-22T02:01:26.439952+00:00,24595,135,50
2026-09-22T03:01:01.683883+00:00,25359,135,50
2026-09-22T04:00:48.349854+00:00,26171,139,51
2026-09-22T05:01:19.533713+00:00,26918,140,51
2026-09-22T06:00:46.086623+00:00,27611,143,52
