timestamp,views,likes,comments
2026-09-11T23:00:47.600268+00:00,397,9,7
2026-09-12T00:01:28.138451+00:00,737,27,18
2026-09-12T01:00:51.409981+00:00,1370,41,24
2026-09-12T02:00:48.737711+00:00,2084,51,39
2026-09-12T03:01:14.539298+00:00,3004,57,44
2026-09-12T04:00:56.184267+00:00,5634,62,49
2026-09-12T05:01:03.346945+00:00,7888,62,50
2026-09-12T06:01:21.220793+00:00,10863,66,50
2026-09-12T07:00:51.712478+00:00,13386,72,50
2026-09-12T08:00:59.044552+00:00,15103,77,50
2026-09-12T09:00:52.149084+00:00,16247,78,52
2026-09-12T10:01:18.445998+00:00,17855,81,54
2026-09-12T11:01:06.634259+00:00,17884,84,55
2026-09-12T12:00:47.514777+00:00,17884,87,56
2026-09-12T13:01:23.358870+00:00,18115,88,58
2026-09-12T14:00:48.457438+00:00,18673,94,60
2026-09-12T15:01:06.822653+00:00,19078,95,61
2026-09-12T16:01:23.433620+00:00,19587,97,62
2026-09-12T17:01:19.011200+00:00,20124,99,62
2026-09-12T18:01:12.235442+00:00,20491,99,63
