timestamp,views,likes,comments
2026-09-19T14:01:10.586319+00:00,279,14,2
2026-09-19T15:00:49.841657+00:00,662,28,5
2026-09-19T16:01:18.627281+00:00,1786,47,9
2026-09-19T17:00:58.844974+00:00,3325,76,23
2026-09-19T18:01:11.624180+00:00,6319,84,25
2026-09-19T19:01:18.266432+00:00,10644,85,25
2026-09-19T20:00:50.619130+00:00,12513,86,25
2026-09-19T21:01:11.244580+00:00,14506,86,25
2026-09-19T22:01:07.267981+00:00,15774,86,26
2026-09-19T23:01:10.536665+00:00,16137,90,26
2026-09-20T00:01:25.941590+00:00,16375,92,33
2026-09-20T01:01:19.734188+00:00,16539,120,42
2026-09-20T02:00:59.100453+00:00,17863,134,49
