timestamp,views,likes,comments
2026-09-11T14:01:09.808957+00:00,1025,26,2
2026-09-11T15:01:13.373221+00:00,1501,44,6
2026-09-11T16:00:30.085587+00:00,1772,53,6
2026-09-11T17:01:01.449475+00:00,2366,59,6
2026-09-11T18:01:19.961334+00:00,3378,61,6
2026-09-11T19:01:11.960657+00:00,7170,62,6
2026-09-11T20:01:21.005945+00:00,8837,63,6
2026-09-11T21:01:10.262430+00:00,9638,63,6
2026-09-11T22:01:22.220599+00:00,10266,66,6
2026-09-11T23:00:46.271078+00:00,10712,69,6
2026-09-12T00:01:26.768921+00:00,10996,70,7
2026-09-12T01:00:50.241835+00:00,11119,71,7
2026-09-12T02:00:47.398419+00:00,11191,71,7
2026-09-12T03:01:12.922671+00:00,11285,71,7
2026-09-12T04:00:54.955774+00:00,11407,71,7
2026-09-12T05:01:02.083379+00:00,11505,71,7
2026-09-12T06:01:19.802215+00:00,11580,72,7
2026-09-12T07:00:50.239396+00:00,11667,72,7
2026-09-12T08:00:57.751116+00:00,11762,72,7
2026-09-12T09:00:50.800822+00:00,11825,72,7
2026-09-12T10:01:17.067648+00:00,11924,73,7
2026-09-12T11:01:05.341992+00:00,11933,72,7
2026-09-12T12:00:46.251986+00:00,11933,72,7
2026-09-12T13:01:22.011906+00:00,11985,73,7
2026-09-12T14:00:47.104134+00:00,12051,73,7
2026-09-12T15:01:05.328814+00:00,12120,74,7
2026-09-12T16:01:22.062282+00:00,12201,74,7
2026-09-12T17:01:17.700723+00:00,12236,74,7
2026-09-12T18:01:10.945991+00:00,12236,74,7
