timestamp,views,likes,comments
2026-09-15T18:00:58.516542+00:00,282,9,7
2026-09-15T19:01:31.876633+00:00,477,14,6
2026-09-15T20:00:44.556273+00:00,509,17,7
2026-09-15T21:01:13.056447+00:00,513,18,9
2026-09-15T22:01:36.613155+00:00,706,20,12
2026-09-15T23:01:28.061503+00:00,3755,21,12
2026-09-16T00:00:39.310704+00:00,5092,22,12
2026-09-16T01:01:07.376971+00:00,6041,22,13
2026-09-16T02:01:05.766593+00:00,6585,22,13
2026-09-16T03:00:45.414311+00:00,7266,22,13
2026-09-16T04:00:15.436309+00:00,7850,25,14
2026-09-16T05:00:16.145734+00:00,8233,27,14
