timestamp,views,likes,comments
2026-09-13T18:01:16.346146+00:00,267,12,4
2026-09-13T19:00:57.077503+00:00,291,18,7
2026-09-13T20:01:20.438230+00:00,558,27,8
2026-09-13T21:00:42.471482+00:00,1427,39,8
2026-09-13T22:00:59.041330+00:00,2577,43,8
2026-09-13T23:00:58.255934+00:00,6533,48,8
2026-09-13T23:47:58.858826+00:00,6965,53,9
2026-09-14T00:00:29.786929+00:00,7045,57,9
2026-09-14T01:01:16.694846+00:00,7538,63,9
2026-09-14T02:01:20.114127+00:00,10328,66,9
2026-09-14T03:01:00.588300+00:00,11050,70,8
2026-09-14T04:00:58.550657+00:00,13238,77,8
2026-09-14T05:00:38.765190+00:00,13593,78,8
2026-09-14T06:00:49.200486+00:00,14904,79,8
2026-09-14T07:01:10.126255+00:00,15137,79,8
2026-09-14T08:01:12.000336+00:00,15608,79,8
2026-09-14T09:01:09.124380+00:00,16695,79,8
2026-09-14T10:01:30.712285+00:00,17285,79,8
2026-09-14T11:01:07.913288+00:00,17364,79,8
2026-09-14T12:00:44.085905+00:00,17381,79,8
2026-09-14T13:00:46.116173+00:00,17588,79,8
2026-09-14T14:00:47.627230+00:00,17748,79,8
2026-09-14T15:01:18.556203+00:00,17946,81,8
2026-09-14T16:01:18.441691+00:00,18383,82,8
2026-09-14T17:01:33.699295+00:00,18591,82,8
2026-09-14T18:00:34.601996+00:00,18734,83,8
2026-09-14T19:01:11.482620+00:00,18902,83,8
2026-09-14T20:01:21.495400+00:00,18998,83,8
2026-09-14T21:00:55.729339+00:00,19094,83,8
2026-09-14T22:01:17.600696+00:00,19156,84,8
2026-09-14T23:01:28.614026+00:00,19242,84,8
2026-09-15T00:01:01.728036+00:00,19303,84,6
2026-09-15T01:00:45.675880+00:00,19240,84,6
2026-09-15T02:00:47.763268+00:00,19270,84,6
2026-09-15T03:00:55.724245+00:00,19314,83,6
2026-09-15T04:00:42.051054+00:00,19388,85,6
2026-09-15T05:01:22.946192+00:00,19401,85,6
2026-09-15T06:00:48.961331+00:00,19401,85,6
2026-09-15T07:01:05.003298+00:00,19401,85,6
2026-09-15T08:00:31.298411+00:00,19553,85,6
2026-09-15T09:01:02.592336+00:00,19641,86,6
2026-09-15T10:01:08.826191+00:00,19735,86,6
2026-09-15T11:00:41.306882+00:00,19735,86,6
2026-09-15T12:00:58.458073+00:00,19735,86,6
2026-09-15T13:00:47.298790+00:00,19810,86,6
2026-09-15T14:00:56.638267+00:00,19843,86,6
2026-09-15T15:00:33.338697+00:00,19843,86,6
2026-09-15T16:01:47.143633+00:00,19843,86,6
2026-09-15T17:01:03.676880+00:00,19982,86,6
2026-09-15T18:00:54.164506+00:00,19980,86,6
2026-09-15T19:01:27.626429+00:00,19982,86,6
2026-09-15T20:00:40.705509+00:00,20047,86,6
2026-09-15T21:01:09.327370+00:00,20102,86,6
2026-09-15T22:01:33.310663+00:00,20163,86,6
2026-09-15T23:01:24.904367+00:00,20201,86,6
