timestamp,views,likes,comments
2026-09-12T18:01:13.624443+00:00,94,2,0
2026-09-12T19:01:12.905068+00:00,332,6,0
2026-09-12T20:00:43.649134+00:00,479,15,0
2026-09-12T21:01:07.267624+00:00,605,18,0
2026-09-12T22:00:42.304622+00:00,735,19,1
2026-09-12T23:00:57.195708+00:00,842,23,1
2026-09-13T00:00:52.304307+00:00,1217,26,1
2026-09-13T01:00:42.627682+00:00,1396,29,1
2026-09-13T02:00:39.350674+00:00,1584,30,1
2026-09-13T03:00:48.363764+00:00,1870,32,1
2026-09-13T04:01:07.759467+00:00,2120,32,1
2026-09-13T05:00:57.367862+00:00,2338,35,1
2026-09-13T06:01:10.569585+00:00,2554,35,1
2026-09-13T07:01:06.274651+00:00,2781,36,1
2026-09-13T08:01:13.072373+00:00,2985,37,1
2026-09-13T09:01:15.550423+00:00,3153,38,1
2026-09-13T10:00:55.747768+00:00,3405,38,1
2026-09-13T11:01:14.350210+00:00,3432,39,1
2026-09-13T12:01:23.855628+00:00,3489,39,1
