timestamp,views,likes,comments
2026-09-17T18:00:47.133184+00:00,20,1,0
2026-09-17T19:01:07.021816+00:00,137,5,0
2026-09-17T20:01:20.300230+00:00,221,9,0
2026-09-17T21:00:59.798227+00:00,422,16,0
2026-09-17T22:01:31.266235+00:00,580,19,1
2026-09-17T23:00:53.304944+00:00,678,23,1
2026-09-18T00:01:13.133840+00:00,781,24,1
2026-09-18T01:01:06.296856+00:00,965,28,1
2026-09-18T02:01:20.453998+00:00,1242,29,1
2026-09-18T03:01:01.550762+00:00,1635,30,1
2026-09-18T04:01:21.583318+00:00,1892,32,1
2026-09-18T05:01:09.214286+00:00,2048,33,1
2026-09-18T06:01:28.100000+00:00,2184,34,1
2026-09-18T07:01:15.359672+00:00,2277,34,1
2026-09-18T08:00:56.967209+00:00,2354,33,1
2026-09-18T09:01:11.902126+00:00,2416,33,1
2026-09-18T10:01:12.539795+00:00,2455,33,1
2026-09-18T11:00:46.441290+00:00,2455,33,1
2026-09-18T12:01:22.002285+00:00,2455,33,1
2026-09-18T13:01:32.024978+00:00,2455,35,1
2026-09-18T14:01:25.296093+00:00,2455,35,1
2026-09-18T15:00:51.142994+00:00,2455,35,1
