timestamp,views,likes,comments
2026-09-16T01:01:07.913278+00:00,286,13,2
2026-09-16T02:01:06.407572+00:00,511,23,4
2026-09-16T03:00:44.674544+00:00,704,36,6
2026-09-16T04:01:03.449488+00:00,809,52,12
2026-09-16T05:00:40.506358+00:00,953,63,12
2026-09-16T06:01:12.827218+00:00,2817,71,14
2026-09-16T07:01:11.387299+00:00,4702,76,16
2026-09-16T08:00:48.345255+00:00,7089,79,16
2026-09-16T09:01:02.102085+00:00,8860,81,16
2026-09-16T10:01:08.376214+00:00,11199,84,17
2026-09-16T11:00:42.608735+00:00,11329,85,19
2026-09-16T12:00:41.931842+00:00,11571,87,27
2026-09-16T13:01:24.503736+00:00,12187,89,30
2026-09-16T14:00:38.931806+00:00,12840,93,30
2026-09-16T15:01:18.097625+00:00,13673,94,30
