timestamp,views,likes,comments
2026-09-20T14:00:49.050383+00:00,301,36,1
2026-09-20T15:01:24.235796+00:00,432,40,1
2026-09-20T16:01:04.529580+00:00,1578,44,2
2026-09-20T17:01:07.689293+00:00,2682,48,16
2026-09-20T18:01:07.009768+00:00,3477,46,16
2026-09-20T19:01:10.786128+00:00,4309,47,16
2026-09-20T20:00:56.892999+00:00,4707,47,16
2026-09-20T21:01:15.437461+00:00,5146,47,16
2026-09-20T22:01:14.584713+00:00,5483,47,16
2026-09-20T23:01:15.171077+00:00,5650,48,16
2026-09-21T00:01:20.591329+00:00,5767,48,16
2026-09-21T01:00:49.661081+00:00,5877,49,16
2026-09-21T02:01:19.006139+00:00,5993,51,16
2026-09-21T03:01:19.917997+00:00,6151,53,16
2026-09-21T04:01:33.304580+00:00,6292,53,16
2026-09-21T05:01:08.608870+00:00,6450,53,16
2026-09-21T06:00:56.782845+00:00,6556,54,16
2026-09-21T07:01:14.850207+00:00,6677,54,16
2026-09-21T08:01:29.149805+00:00,6780,54,16
2026-09-21T09:01:28.820161+00:00,6846,54,28
2026-09-21T10:01:27.128237+00:00,6910,54,16
2026-09-21T11:01:29.803012+00:00,6910,54,16
2026-09-21T12:01:15.665000+00:00,6910,54,16
2026-09-21T13:01:29.294000+00:00,7044,55,16
