timestamp,views,likes,comments
2026-09-11T19:01:12.554057+00:00,0,13,6
2026-09-11T20:01:21.582010+00:00,1668,53,16
2026-09-11T21:01:10.704995+00:00,2575,93,28
2026-09-11T22:01:22.613393+00:00,3650,131,41
2026-09-11T23:00:46.754563+00:00,4448,153,48
2026-09-12T00:01:27.324475+00:00,10458,176,51
2026-09-12T01:00:50.722548+00:00,14456,195,63
2026-09-12T02:00:48.002154+00:00,16145,209,70
2026-09-12T03:01:13.603516+00:00,18505,219,71
2026-09-12T04:00:55.361002+00:00,20648,223,71
2026-09-12T05:01:02.483667+00:00,22597,230,73
2026-09-12T06:01:20.380087+00:00,23966,238,73
2026-09-12T07:00:50.931039+00:00,24844,242,76
2026-09-12T08:00:58.130279+00:00,25664,245,78
2026-09-12T09:00:51.313157+00:00,26342,248,78
2026-09-12T10:01:17.564090+00:00,27593,251,79
2026-09-12T11:01:05.774553+00:00,27634,254,79
2026-09-12T12:00:46.746584+00:00,27690,256,79
2026-09-12T13:01:22.519922+00:00,28015,257,81
2026-09-12T14:00:47.578357+00:00,28444,257,82
2026-09-12T15:01:05.869910+00:00,28915,259,83
2026-09-12T16:01:22.437178+00:00,29325,264,84
2026-09-12T17:01:18.260725+00:00,29799,265,84
