timestamp,views,likes,comments
2026-09-12T09:00:52.397251+00:00,917,42,5
2026-09-12T10:01:18.808959+00:00,1523,90,13
2026-09-12T11:01:06.810058+00:00,2659,122,14
2026-09-12T12:00:47.680937+00:00,3742,150,17
2026-09-12T13:01:23.584212+00:00,6972,178,18
2026-09-12T14:00:48.644032+00:00,12250,202,20
2026-09-12T15:01:07.076646+00:00,16971,227,21
2026-09-12T16:01:23.673537+00:00,21585,245,22
2026-09-12T17:01:19.297973+00:00,26670,258,23
2026-09-12T18:01:12.508043+00:00,30835,280,24
2026-09-12T19:01:11.987543+00:00,33907,289,25
2026-09-12T20:00:42.580016+00:00,36555,294,27
2026-09-12T21:01:06.338464+00:00,38711,301,27
2026-09-12T22:00:41.323096+00:00,40716,312,28
2026-09-12T23:00:56.153786+00:00,41778,315,28
2026-09-13T00:00:51.535330+00:00,41826,318,28
2026-09-13T01:00:41.742526+00:00,42292,325,28
2026-09-13T02:00:38.559178+00:00,42782,332,28
2026-09-13T03:00:47.473909+00:00,43587,335,28
2026-09-13T04:01:07.049366+00:00,44316,343,28
2026-09-13T05:00:56.526052+00:00,44897,349,29
2026-09-13T06:01:09.557057+00:00,45585,356,29
2026-09-13T07:01:05.432718+00:00,46266,361,29
2026-09-13T08:01:12.236983+00:00,47033,366,29
2026-09-13T09:01:14.731542+00:00,47846,376,29
2026-09-13T10:00:55.063324+00:00,49912,377,29
2026-09-13T11:01:13.371669+00:00,50221,377,30
2026-09-13T12:01:23.076281+00:00,50864,385,30
2026-09-13T13:00:40.560340+00:00,51797,393,30
2026-09-13T14:00:41.414776+00:00,52682,397,30
2026-09-13T15:01:06.072116+00:00,53555,400,30
2026-09-13T16:01:15.767234+00:00,54380,402,31
2026-09-13T17:01:12.454650+00:00,55194,404,31
2026-09-13T18:01:14.918144+00:00,55987,416,31
2026-09-13T19:00:55.442396+00:00,56063,420,31
2026-09-13T20:01:18.853245+00:00,56872,427,31
2026-09-13T21:00:40.964514+00:00,57528,429,34
2026-09-13T22:00:57.379871+00:00,58341,432,34
2026-09-13T23:00:56.956992+00:00,59922,435,34
2026-09-13T23:47:57.051274+00:00,60149,437,34
2026-09-14T00:00:28.220787+00:00,60174,437,34
2026-09-14T01:01:15.223373+00:00,60436,444,34
2026-09-14T02:01:18.624936+00:00,62082,451,34
2026-09-14T03:00:59.094457+00:00,62593,454,34
2026-09-14T04:00:57.108222+00:00,64661,469,36
2026-09-14T05:00:36.648107+00:00,65056,482,37
2026-09-14T06:00:47.791688+00:00,66914,489,37
2026-09-14T07:01:08.517622+00:00,67459,499,37
2026-09-14T08:01:10.462717+00:00,68326,501,37
2026-09-14T09:01:07.663830+00:00,71084,503,38
2026-09-14T10:01:29.241014+00:00,72665,507,38
2026-09-14T11:01:06.201579+00:00,72962,511,38
2026-09-14T12:00:42.454244+00:00,73187,515,38
2026-09-14T13:00:44.655930+00:00,73865,518,38
2026-09-14T14:00:46.279223+00:00,74691,521,38
2026-09-14T15:01:17.078437+00:00,75699,527,38
2026-09-14T16:01:17.058285+00:00,77164,532,38
2026-09-14T17:01:31.794149+00:00,77886,536,39
2026-09-14T18:00:33.118666+00:00,78539,540,39
2026-09-14T19:01:10.109677+00:00,79237,539,40
2026-09-14T20:01:19.724917+00:00,79848,545,40
2026-09-14T21:00:54.073902+00:00,80392,548,40
2026-09-14T22:01:16.135391+00:00,80868,553,40
2026-09-14T23:01:27.155535+00:00,81427,555,40
2026-09-15T00:01:00.240044+00:00,81959,557,40
2026-09-15T01:00:44.076212+00:00,82426,561,40
2026-09-15T02:00:46.296390+00:00,82692,564,40
2026-09-15T03:00:54.094450+00:00,83218,571,40
2026-09-15T04:00:40.316805+00:00,84071,577,40
2026-09-15T05:01:20.957409+00:00,84524,582,41
2026-09-15T06:00:47.242098+00:00,85151,585,41
2026-09-15T07:01:03.390987+00:00,85723,589,41
2026-09-15T08:00:29.607403+00:00,86486,590,45
2026-09-15T09:01:00.875812+00:00,87122,594,45
2026-09-15T10:01:07.429434+00:00,88138,597,46
2026-09-15T11:00:39.806005+00:00,88581,599,47
2026-09-15T12:00:56.971006+00:00,89066,606,47
