timestamp,views,likes,comments
2026-09-21T06:00:57.071268+00:00,104,6,0
2026-09-21T07:01:15.060348+00:00,304,10,1
2026-09-21T08:01:29.437259+00:00,658,12,2
2026-09-21T09:01:29.023683+00:00,1860,13,2
2026-09-21T10:01:27.437703+00:00,2921,17,2
2026-09-21T11:01:30.077680+00:00,3723,19,2
2026-09-21T12:01:15.942243+00:00,4253,20,2
2026-09-21T13:01:29.513798+00:00,4970,20,2
2026-09-21T14:01:12.420611+00:00,5463,23,2
2026-09-21T15:00:54.105487+00:00,6075,23,2
2026-09-21T16:01:22.789946+00:00,6910,23,2
