timestamp,views,likes,comments
2026-09-18T19:01:30.931206+00:00,326,8,5
2026-09-18T20:01:13.592711+00:00,501,14,17
2026-09-18T21:01:27.419010+00:00,2130,17,17
2026-09-18T22:01:11.276203+00:00,3209,18,17
2026-09-18T23:00:55.943477+00:00,4360,20,17
2026-09-19T00:01:15.325167+00:00,5380,21,17
2026-09-19T01:01:11.904227+00:00,5913,21,17
2026-09-19T02:00:57.137614+00:00,6347,22,17
2026-09-19T03:01:04.787700+00:00,6681,23,17
2026-09-19T04:00:20.710816+00:00,6878,25,17
2026-09-19T05:00:25.937773+00:00,7059,27,17
2026-09-19T10:00:20.023859+00:00,7720,30,9
2026-09-20T00:00:22.736642+00:00,8790,38,9
2026-09-20T01:00:20.380704+00:00,8850,39,9
2026-09-20T02:02:16.018415+00:00,8939,39,9
