timestamp,views,likes,comments
2026-09-18T22:01:11.616523+00:00,89,9,2
2026-09-18T23:00:56.416610+00:00,1895,59,55
2026-09-19T00:01:15.547580+00:00,2234,65,57
2026-09-19T01:01:12.224846+00:00,3706,66,74
2026-09-19T02:00:57.362642+00:00,4110,66,80
2026-09-19T03:01:04.281005+00:00,5354,69,80
2026-09-19T04:00:19.913245+00:00,6097,71,86
2026-09-19T05:00:24.980124+00:00,6455,72,89
2026-09-19T10:00:19.238197+00:00,7382,75,91
2026-09-20T00:00:21.861749+00:00,8500,76,99
2026-09-20T01:00:19.610198+00:00,8574,76,99
2026-09-20T02:02:14.969853+00:00,8574,76,99
2026-09-21T00:00:23.312573+00:00,9095,78,102
2026-09-21T02:00:20.994472+00:00,9141,78,102
2026-09-21T03:00:23.922241+00:00,9146,78,102
2026-09-21T04:00:23.852398+00:00,9159,79,102
2026-09-21T05:00:21.417445+00:00,9178,79,102
