timestamp,views,likes,comments
2026-09-11T21:01:11.115044+00:00,217,6,1
2026-09-11T22:01:23.091027+00:00,892,25,11
2026-09-11T23:00:47.209399+00:00,1627,45,18
2026-09-12T00:01:27.625437+00:00,2589,54,22
2026-09-12T01:00:51.041839+00:00,4170,63,30
2026-09-12T02:00:48.336616+00:00,5752,73,37
2026-09-12T03:01:14.005398+00:00,9262,83,41
2026-09-12T04:00:55.801053+00:00,12015,85,45
2026-09-12T05:01:02.856496+00:00,14107,97,51
2026-09-12T06:01:20.770185+00:00,16205,107,52
2026-09-12T07:00:51.237538+00:00,17805,109,53
2026-09-12T08:00:58.517461+00:00,19609,116,58
2026-09-12T09:00:51.738061+00:00,21109,118,61
2026-09-12T10:01:18.061389+00:00,22994,120,62
2026-09-12T11:01:06.156403+00:00,23034,123,62
2026-09-12T12:00:47.126842+00:00,23034,127,62
2026-09-12T13:01:22.988578+00:00,23252,132,63
2026-09-12T14:00:47.988820+00:00,23815,135,63
2026-09-12T15:01:06.383783+00:00,24280,140,64
2026-09-12T16:01:22.855465+00:00,24791,143,65
2026-09-12T17:01:18.643103+00:00,25376,145,65
2026-09-12T18:01:11.862983+00:00,25961,149,68
2026-09-12T19:01:11.345735+00:00,26465,152,68
2026-09-12T20:00:41.916221+00:00,26845,153,69
