timestamp,views,likes,comments
2026-09-20T00:00:25.926685+00:00,18014,194,103
2026-09-20T01:00:23.145372+00:00,18313,203,110
2026-09-20T02:02:19.043481+00:00,18837,207,110
2026-09-20T03:00:51.969051+00:00,19281,213,111
2026-09-20T04:00:50.404870+00:00,19794,218,113
2026-09-20T05:00:50.091068+00:00,20208,222,116
2026-09-20T06:01:12.091050+00:00,20490,225,120
2026-09-20T07:01:22.319730+00:00,20851,229,126
2026-09-20T08:01:13.182975+00:00,21084,233,127
2026-09-20T09:00:48.558347+00:00,21366,234,127
2026-09-20T10:01:17.342742+00:00,21585,235,128
2026-09-20T11:01:03.834554+00:00,21704,236,129
2026-09-20T12:00:56.063092+00:00,21878,238,129
2026-09-20T13:01:25.262983+00:00,22052,238,130
2026-09-20T14:00:48.348711+00:00,22255,240,131
2026-09-20T15:01:23.525027+00:00,22468,242,133
2026-09-20T16:01:03.890677+00:00,22634,247,134
2026-09-20T17:01:06.997147+00:00,22897,250,136
2026-09-20T18:01:06.318114+00:00,23171,256,144
2026-09-20T19:01:10.086185+00:00,23516,257,151
2026-09-20T20:00:56.058002+00:00,23829,262,152
2026-09-20T21:01:14.827808+00:00,24202,268,153
2026-09-20T22:01:13.858250+00:00,24817,274,160
2026-09-20T23:01:14.474867+00:00,25438,279,161
2026-09-21T00:01:19.572505+00:00,26024,283,163
2026-09-21T01:00:48.648518+00:00,26325,285,167
2026-09-21T02:01:17.892874+00:00,26739,288,168
2026-09-21T03:01:18.686697+00:00,27152,291,169
2026-09-21T04:01:32.086309+00:00,27516,295,169
2026-09-21T05:01:07.344403+00:00,27923,298,170
2026-09-21T06:00:55.475037+00:00,28203,299,170
2026-09-21T07:01:14.012086+00:00,28506,302,170
2026-09-21T08:01:28.261129+00:00,28750,302,171
2026-09-21T09:01:27.860448+00:00,28907,305,171
2026-09-21T10:01:26.214027+00:00,29087,308,171
2026-09-21T11:01:28.697417+00:00,29228,310,171
2026-09-21T12:01:14.776565+00:00,29369,309,171
2026-09-21T13:01:28.055497+00:00,29592,313,172
2026-09-21T14:01:11.283827+00:00,29813,321,173
2026-09-21T15:00:52.676192+00:00,30104,323,176
2026-09-21T16:01:21.275229+00:00,30421,326,177
2026-09-21T17:01:26.785238+00:00,30683,328,178
2026-09-21T18:00:42.331248+00:00,30962,330,178
2026-09-21T19:00:50.816114+00:00,31167,333,180
2026-09-21T20:02:09.284830+00:00,31304,335,180
2026-09-21T21:01:02.533861+00:00,31380,337,181
2026-09-21T22:00:49.865326+00:00,31414,339,181
2026-09-21T23:00:48.658927+00:00,31497,338,181
2026-09-22T00:01:17.728215+00:00,31576,339,181
2026-09-22T01:01:21.947509+00:00,31643,340,182
2026-09-22T02:01:24.153085+00:00,31729,343,182
