timestamp,views,likes,comments
2026-09-16T07:01:13.804696+00:00,322,9,2
2026-09-16T08:00:50.385192+00:00,691,29,4
2026-09-16T09:01:04.280670+00:00,809,34,4
2026-09-16T10:01:10.361854+00:00,1595,38,9
2026-09-16T11:00:44.575578+00:00,1718,46,11
2026-09-16T12:00:43.753095+00:00,2951,55,12
2026-09-16T13:01:26.615180+00:00,4766,62,13
2026-09-16T14:00:41.213123+00:00,6140,72,16
2026-09-16T15:01:20.221532+00:00,7457,107,18
2026-09-16T16:02:10.369770+00:00,8380,120,20
2026-09-16T17:00:48.207421+00:00,9425,123,21
2026-09-16T18:01:08.528017+00:00,10197,132,21
2026-09-16T19:01:15.090350+00:00,13619,142,21
2026-09-16T20:00:57.259373+00:00,17206,152,22
2026-09-16T21:01:35.338371+00:00,18585,167,25
2026-09-16T22:01:12.596880+00:00,19575,174,25
2026-09-16T23:01:09.365348+00:00,21959,182,25
2026-09-17T00:00:49.605321+00:00,24384,182,25
2026-09-17T01:00:58.874652+00:00,26534,182,25
2026-09-17T02:01:10.420133+00:00,28498,182,25
2026-09-17T03:00:45.944601+00:00,29968,182,25
2026-09-17T04:01:12.470084+00:00,30544,189,26
2026-09-17T05:00:47.545807+00:00,30729,191,26
2026-09-17T06:01:48.950244+00:00,31219,196,27
2026-09-17T07:00:50.490088+00:00,31242,198,27
2026-09-17T08:00:44.956362+00:00,31360,198,27
2026-09-17T09:01:22.150962+00:00,32460,198,29
2026-09-17T10:00:41.232531+00:00,34231,198,29
2026-09-17T11:01:24.132778+00:00,34471,198,29
2026-09-17T12:01:25.974635+00:00,34471,199,29
2026-09-17T13:01:29.717725+00:00,34471,199,29
2026-09-17T14:01:28.729855+00:00,34471,199,29
2026-09-17T15:01:18.233169+00:00,34471,199,29
2026-09-17T16:01:20.099898+00:00,34491,199,29
2026-09-17T17:01:18.761376+00:00,34519,199,29
2026-09-17T18:00:44.092419+00:00,34520,199,29
2026-09-17T19:01:03.973445+00:00,34520,199,29
2026-09-17T20:01:17.158890+00:00,34520,199,29
2026-09-17T21:00:56.645544+00:00,34547,199,29
2026-09-17T22:01:28.316428+00:00,34547,197,29
2026-09-17T23:00:50.221461+00:00,34547,197,29
2026-09-18T00:01:09.992005+00:00,34547,197,29
2026-09-18T01:01:03.201989+00:00,34659,197,29
2026-09-18T02:01:17.618712+00:00,34670,196,29
2026-09-18T03:00:58.535203+00:00,34684,195,29
2026-09-18T04:01:18.783050+00:00,34684,195,29
2026-09-18T05:01:06.302346+00:00,34719,194,29
2026-09-18T06:01:25.482952+00:00,34721,194,29
2026-09-18T07:01:12.215245+00:00,34742,193,29
