timestamp,views,likes,comments
2026-09-14T17:01:35.079238+00:00,74,1,0
2026-09-14T18:00:35.837680+00:00,343,12,4
2026-09-14T19:01:12.735627+00:00,592,19,4
2026-09-14T20:01:22.676282+00:00,1504,21,4
2026-09-14T21:00:56.969915+00:00,1952,24,4
2026-09-14T22:01:18.936324+00:00,2849,26,4
2026-09-14T23:01:29.877362+00:00,3458,27,26
2026-09-15T00:01:02.988027+00:00,3929,28,6
2026-09-15T01:00:47.000806+00:00,4277,30,5
2026-09-15T02:00:49.171690+00:00,4421,30,6
2026-09-15T03:00:57.254838+00:00,4610,30,7
2026-09-15T04:00:43.606589+00:00,4824,31,7
2026-09-15T05:01:24.716822+00:00,4908,31,7
2026-09-15T06:00:50.256623+00:00,4990,32,7
2026-09-15T07:01:06.350827+00:00,5049,33,7
2026-09-15T08:00:32.733085+00:00,5119,33,7
2026-09-15T09:01:04.291897+00:00,5174,33,7
2026-09-15T10:01:10.084818+00:00,5262,33,7
2026-09-15T11:00:42.813248+00:00,5290,33,7
2026-09-15T12:01:00.789356+00:00,5312,34,7
2026-09-15T13:00:48.587803+00:00,5339,34,7
2026-09-15T14:00:58.272250+00:00,5380,34,7
2026-09-15T15:00:34.837571+00:00,5402,34,7
2026-09-15T16:01:48.444356+00:00,5402,34,7
2026-09-15T17:01:05.013429+00:00,5402,34,7
2026-09-15T18:00:55.755970+00:00,5492,34,7
2026-09-15T19:01:29.151385+00:00,5493,34,7
2026-09-15T20:00:42.150169+00:00,5505,34,7
