timestamp,views,likes,comments
2026-09-22T08:01:13.018425+00:00,104,4,2
2026-09-22T09:01:42.644084+00:00,185,5,2
2026-09-22T10:01:52.679769+00:00,835,8,2
2026-09-22T11:01:08.227626+00:00,1322,11,2
2026-09-22T12:01:04.027156+00:00,1886,15,2
2026-09-22T13:01:38.485209+00:00,2545,17,3
2026-09-22T14:01:18.396764+00:00,3254,23,3
2026-09-22T15:00:52.452587+00:00,3866,28,5
2026-09-22T16:01:09.995899+00:00,4308,29,5
2026-09-22T17:01:18.177413+00:00,4874,28,6
2026-09-22T18:01:24.916410+00:00,5380,29,7
2026-09-22T19:01:28.974014+00:00,5735,33,8
2026-09-22T20:01:16.210992+00:00,6055,33,8
2026-09-22T21:00:49.753139+00:00,6344,40,8
2026-09-22T22:01:27.049694+00:00,6636,40,8
2026-09-22T23:01:01.095327+00:00,6887,40,8
