timestamp,views,likes,comments
2026-09-18T07:01:16.492719+00:00,617,10,7
2026-09-18T08:00:58.117966+00:00,829,16,12
2026-09-18T09:01:12.991470+00:00,837,19,16
2026-09-18T10:01:13.609042+00:00,1995,19,17
2026-09-18T11:00:47.415162+00:00,2850,23,19
2026-09-18T12:01:23.145838+00:00,3613,25,25
2026-09-18T13:01:33.113260+00:00,4595,29,31
2026-09-18T14:01:26.516047+00:00,5569,35,37
2026-09-18T15:00:52.227763+00:00,7503,36,40
2026-09-18T16:01:19.355407+00:00,10789,52,52
2026-09-18T17:01:07.517400+00:00,14764,63,77
2026-09-18T18:01:17.266961+00:00,17043,72,86
2026-09-18T19:01:29.140118+00:00,20421,74,86
2026-09-18T20:01:12.104662+00:00,22193,79,89
2026-09-18T21:01:26.007615+00:00,23685,82,89
2026-09-18T22:01:10.003449+00:00,25027,82,88
