timestamp,views,likes,comments
2026-09-10T00:00:48.290766+00:00,260,2,1
2026-09-10T01:01:04.352998+00:00,288,5,1
2026-09-10T02:01:15.396886+00:00,317,4,2
2026-09-10T03:00:48.512365+00:00,411,4,2
2026-09-10T04:01:17.049718+00:00,494,5,3
2026-09-10T05:00:59.321742+00:00,615,6,3
2026-09-10T06:00:56.605006+00:00,627,7,3
2026-09-10T07:00:38.785968+00:00,627,7,3
2026-09-10T08:00:50.181102+00:00,739,7,3
2026-09-10T09:01:05.758107+00:00,794,7,4
2026-09-10T10:00:45.672774+00:00,857,7,4
2026-09-10T11:00:34.496244+00:00,857,7,4
