timestamp,views,likes,comments
2026-09-11T07:01:08.081105+00:00,0,3,2
2026-09-11T08:01:15.081577+00:00,220,4,3
2026-09-11T09:01:09.785788+00:00,417,7,4
2026-09-11T10:00:45.214337+00:00,1475,5,15
2026-09-11T11:00:57.520815+00:00,1688,6,4
2026-09-11T12:01:23.540547+00:00,2214,7,5
2026-09-11T13:00:33.210022+00:00,2760,7,5
2026-09-11T14:01:09.240503+00:00,3190,7,5
2026-09-11T15:01:13.005035+00:00,3562,7,5
2026-09-11T16:00:29.603883+00:00,3961,7,5
2026-09-11T17:01:00.789045+00:00,4277,7,6
