timestamp,views,likes,comments
2026-09-12T00:01:28.223422+00:00,68,2,0
2026-09-12T01:00:51.483374+00:00,152,4,0
2026-09-12T02:00:48.804226+00:00,341,6,0
2026-09-12T03:01:14.610972+00:00,597,8,1
2026-09-12T04:00:56.321698+00:00,1017,8,1
2026-09-12T05:01:03.480586+00:00,2026,10,2
2026-09-12T06:01:21.351495+00:00,2722,11,3
2026-09-12T07:00:51.857119+00:00,3270,14,3
2026-09-12T08:00:59.118022+00:00,3779,15,3
2026-09-12T09:00:52.211007+00:00,4186,15,3
2026-09-12T10:01:18.585001+00:00,4884,17,3
2026-09-12T11:01:06.711577+00:00,4934,17,2
2026-09-12T12:00:47.573194+00:00,4934,17,2
2026-09-12T13:01:23.491915+00:00,5156,19,2
2026-09-12T14:00:48.533221+00:00,5300,20,2
2026-09-12T15:01:06.914894+00:00,5445,21,2
2026-09-12T16:01:23.510470+00:00,5582,21,2
2026-09-12T17:01:19.117617+00:00,5706,21,2
2026-09-12T18:01:12.376124+00:00,5815,21,2
2026-09-12T19:01:11.876399+00:00,5867,21,2
