timestamp,views,likes,comments
2026-09-22T03:01:02.811638+00:00,17,0,2
2026-09-22T04:00:49.658158+00:00,79,3,2
2026-09-22T05:01:20.899751+00:00,649,6,2
2026-09-22T06:00:47.360814+00:00,1565,7,2
2026-09-22T07:01:20.701016+00:00,2094,8,2
2026-09-22T08:01:12.558006+00:00,2891,8,2
2026-09-22T09:01:42.002560+00:00,3383,8,2
2026-09-22T10:01:52.271589+00:00,3742,8,2
2026-09-22T11:01:07.767648+00:00,3742,8,2
2026-09-22T12:01:03.633548+00:00,3742,8,2
2026-09-22T13:01:38.008563+00:00,4020,9,2
2026-09-22T14:01:17.806192+00:00,4144,9,2
2026-09-22T15:00:51.824658+00:00,4273,9,2
