timestamp,views,likes,comments
2026-09-21T05:01:08.748209+00:00,600,21,3
2026-09-21T06:00:57.017956+00:00,1069,38,31
2026-09-21T07:01:15.001625+00:00,2491,43,31
2026-09-21T08:01:29.363172+00:00,4910,50,29
2026-09-21T09:01:28.964676+00:00,6705,54,6
2026-09-21T10:01:27.385867+00:00,8036,57,5
2026-09-21T11:01:30.018304+00:00,8656,58,13
2026-09-21T12:01:15.886783+00:00,9118,63,13
2026-09-21T13:01:29.453607+00:00,9763,64,13
2026-09-21T14:01:12.341776+00:00,10248,64,13
2026-09-21T15:00:54.046867+00:00,10724,67,13
2026-09-21T16:01:22.713405+00:00,11047,68,13
2026-09-21T17:01:28.191105+00:00,11276,69,12
2026-09-21T18:00:43.603774+00:00,11523,71,12
2026-09-21T19:00:52.236724+00:00,11733,71,12
2026-09-21T20:02:10.715608+00:00,11928,72,12
