timestamp,views,likes,comments
2026-09-18T23:00:57.452231+00:00,567,28,1
2026-09-19T00:01:16.031907+00:00,992,41,2
2026-09-19T01:01:12.654200+00:00,2067,47,2
2026-09-19T02:00:58.226294+00:00,3322,58,2
2026-09-19T03:01:04.184759+00:00,4786,62,2
2026-09-19T04:00:19.641110+00:00,6250,70,2
2026-09-19T05:00:24.665267+00:00,7462,73,2
2026-09-19T10:00:18.930929+00:00,11271,93,2
2026-09-20T00:00:21.632277+00:00,14340,101,5
2026-09-20T01:00:19.446587+00:00,14406,102,5
2026-09-20T02:02:14.743475+00:00,14492,102,5
2026-09-20T03:00:49.809368+00:00,14547,102,5
