timestamp,views,likes,comments
2026-09-14T14:00:48.603660+00:00,22,2,0
2026-09-14T15:01:19.446063+00:00,196,9,0
2026-09-14T16:01:19.226304+00:00,626,10,0
2026-09-14T17:01:34.670365+00:00,895,11,0
2026-09-14T18:00:35.305897+00:00,1019,11,0
2026-09-14T19:01:12.204321+00:00,1163,10,0
2026-09-14T20:01:22.218402+00:00,1509,10,0
2026-09-14T21:00:56.617136+00:00,1658,10,0
2026-09-14T22:01:18.550895+00:00,1731,10,0
2026-09-14T23:01:29.444932+00:00,1810,10,0
2026-09-15T00:01:02.563432+00:00,1838,10,0
2026-09-15T01:00:46.643980+00:00,1838,10,0
2026-09-15T02:00:48.635530+00:00,1856,11,0
2026-09-15T03:00:56.708046+00:00,1856,11,0
2026-09-15T04:00:43.224572+00:00,1856,11,0
2026-09-15T05:01:24.053545+00:00,1856,11,0
2026-09-15T06:00:49.722888+00:00,1973,11,0
2026-09-15T07:01:05.985600+00:00,1973,11,0
2026-09-15T08:00:32.292031+00:00,1973,11,0
2026-09-15T09:01:03.736866+00:00,2027,11,0
2026-09-15T10:01:09.691079+00:00,2041,11,0
2026-09-15T11:00:42.123241+00:00,2041,11,0
2026-09-15T12:01:00.149519+00:00,2041,11,0
2026-09-15T13:00:48.170269+00:00,2093,11,0
2026-09-15T14:00:57.596199+00:00,2093,11,0
2026-09-15T15:00:34.409378+00:00,2096,11,0
2026-09-15T16:01:47.921704+00:00,2130,11,0
2026-09-15T17:01:04.465196+00:00,2130,11,0
2026-09-15T18:00:55.188890+00:00,2130,11,0
2026-09-15T19:01:28.487670+00:00,2146,12,0
2026-09-15T20:00:41.724281+00:00,2146,12,0
2026-09-15T21:01:10.201975+00:00,2146,12,0
2026-09-15T22:01:34.090437+00:00,2159,12,0
2026-09-15T23:01:25.613221+00:00,2159,12,0
2026-09-16T00:00:36.775557+00:00,2159,12,0
2026-09-16T01:01:04.244784+00:00,2178,12,0
2026-09-16T02:01:03.130879+00:00,2178,12,0
2026-09-16T03:00:44.010815+00:00,2178,12,0
2026-09-16T04:01:02.726308+00:00,2191,12,0
2026-09-16T05:00:39.920049+00:00,2191,12,0
2026-09-16T06:01:12.237792+00:00,2191,12,0
2026-09-16T07:01:10.603015+00:00,2191,12,0
2026-09-16T08:00:47.753525+00:00,2206,12,0
2026-09-16T09:01:01.434738+00:00,2222,13,0
2026-09-16T10:01:07.783693+00:00,2222,13,0
2026-09-16T11:00:42.067804+00:00,2222,13,0
2026-09-16T12:00:41.211606+00:00,2236,13,0
2026-09-16T13:01:23.892070+00:00,2236,13,0
2026-09-16T14:00:38.251486+00:00,2236,13,0
2026-09-16T15:01:17.331194+00:00,2249,13,0
2026-09-16T16:02:05.702631+00:00,2249,13,0
2026-09-16T17:00:45.387982+00:00,2249,13,0
2026-09-16T18:01:05.464629+00:00,2257,13,0
2026-09-16T19:01:12.628692+00:00,2256,13,0
2026-09-16T20:00:54.514364+00:00,2257,13,0
2026-09-16T21:01:32.330783+00:00,2267,14,0
2026-09-16T22:01:09.703337+00:00,2267,14,0
