timestamp,views,likes,comments
2026-09-11T17:01:01.925407+00:00,418,9,0
2026-09-11T18:01:20.303894+00:00,671,21,0
2026-09-11T19:01:12.333402+00:00,726,28,0
2026-09-11T20:01:21.339118+00:00,968,33,1
2026-09-11T21:01:10.510923+00:00,1104,39,1
2026-09-11T22:01:22.492775+00:00,1464,39,1
2026-09-11T23:00:46.619508+00:00,1798,39,1
2026-09-12T00:01:27.218162+00:00,2089,41,1
2026-09-12T01:00:50.486246+00:00,2216,42,1
2026-09-12T02:00:47.817879+00:00,2329,46,1
2026-09-12T03:01:13.466244+00:00,2495,49,1
2026-09-12T04:00:55.249929+00:00,2643,51,1
2026-09-12T05:01:02.359476+00:00,2772,53,1
2026-09-12T06:01:20.254949+00:00,2910,59,1
2026-09-12T07:00:50.702225+00:00,3042,61,1
2026-09-12T08:00:58.015356+00:00,3181,61,1
2026-09-12T09:00:51.214582+00:00,3293,62,1
2026-09-12T10:01:17.423766+00:00,3561,64,1
2026-09-12T11:01:05.595296+00:00,3583,66,1
2026-09-12T12:00:46.641613+00:00,3616,68,1
2026-09-12T13:01:22.398971+00:00,3691,69,1
2026-09-12T14:00:47.419420+00:00,3782,69,1
2026-09-12T15:01:05.691924+00:00,3882,71,1
2026-09-12T16:01:22.326000+00:00,3990,71,1
