timestamp,views,likes,comments
2026-09-18T08:00:58.319012+00:00,304,17,0
2026-09-18T09:01:13.115529+00:00,641,27,1
2026-09-18T10:01:13.722556+00:00,880,42,1
2026-09-18T11:00:47.588083+00:00,991,48,1
2026-09-18T12:01:23.294325+00:00,1091,55,1
2026-09-18T13:01:33.240703+00:00,2558,58,1
2026-09-18T14:01:26.672849+00:00,4541,59,2
2026-09-18T15:00:52.448928+00:00,7206,59,2
2026-09-18T16:01:19.478544+00:00,8412,62,2
2026-09-18T17:01:07.653885+00:00,9073,63,2
2026-09-18T18:01:17.397357+00:00,9459,64,2
2026-09-18T19:01:29.345172+00:00,9742,64,2
2026-09-18T20:01:12.306756+00:00,9968,64,2
2026-09-18T21:01:26.136070+00:00,10149,65,2
2026-09-18T22:01:10.145122+00:00,10277,66,2
2026-09-18T23:00:54.686993+00:00,10338,66,2
2026-09-19T00:01:14.116688+00:00,10409,65,2
2026-09-19T01:01:10.607316+00:00,10476,65,2
