timestamp,views,likes,comments
2026-09-17T19:01:07.101605+00:00,4,0,0
2026-09-17T20:01:20.423846+00:00,1797,42,10
2026-09-17T21:00:59.854525+00:00,3410,93,12
2026-09-17T22:01:31.390422+00:00,4126,132,18
2026-09-17T23:00:53.382916+00:00,4266,160,21
2026-09-18T00:01:13.213726+00:00,6297,195,23
2026-09-18T01:01:06.366783+00:00,14757,223,29
2026-09-18T02:01:20.626642+00:00,25317,246,30
2026-09-18T03:01:01.605479+00:00,32318,271,32
2026-09-18T04:01:21.642123+00:00,38730,285,32
2026-09-18T05:01:09.276751+00:00,43993,302,36
2026-09-18T06:01:28.172363+00:00,48534,316,38
2026-09-18T07:01:15.440229+00:00,52585,334,38
