timestamp,views,likes,comments
2026-09-15T10:01:11.443040+00:00,188,11,0
2026-09-15T11:00:44.272061+00:00,713,33,3
2026-09-15T12:01:02.219825+00:00,1324,43,4
2026-09-15T13:00:50.098529+00:00,2750,52,6
2026-09-15T14:00:59.590884+00:00,4170,55,7
2026-09-15T15:00:36.140749+00:00,6544,63,7
2026-09-15T16:01:49.836143+00:00,8652,68,7
2026-09-15T17:01:06.425471+00:00,9661,71,7
2026-09-15T18:00:57.517820+00:00,10253,73,7
2026-09-15T19:01:30.661500+00:00,10757,74,7
2026-09-15T20:00:43.485576+00:00,11561,74,7
2026-09-15T21:01:11.971396+00:00,12280,75,7
2026-09-15T22:01:35.789271+00:00,12587,75,7
2026-09-15T23:01:27.075307+00:00,12794,75,7
2026-09-16T00:00:38.356242+00:00,12942,75,8
2026-09-16T01:01:06.338380+00:00,13140,75,8
2026-09-16T02:01:04.742173+00:00,13300,75,8
2026-09-16T03:00:46.213990+00:00,13415,75,8
2026-09-16T04:01:05.088685+00:00,13541,75,8
2026-09-16T05:00:42.074885+00:00,13655,75,8
2026-09-16T06:01:14.278981+00:00,13753,75,8
2026-09-16T07:01:13.194571+00:00,13864,75,8
2026-09-16T08:00:49.646154+00:00,13956,75,8
2026-09-16T09:01:03.780634+00:00,14025,75,8
2026-09-16T10:01:09.750874+00:00,14032,75,8
