timestamp,views,likes,comments
2026-09-14T22:01:19.471441+00:00,442,19,29
2026-09-14T23:01:30.487919+00:00,776,28,26
2026-09-15T00:01:03.832537+00:00,2376,32,4
2026-09-15T01:00:47.742990+00:00,3526,38,3
2026-09-15T02:00:49.818804+00:00,4384,40,3
2026-09-15T03:00:57.927561+00:00,5462,42,3
2026-09-15T04:00:44.450906+00:00,6662,42,3
2026-09-15T05:01:25.964805+00:00,7102,44,3
2026-09-15T06:00:50.837858+00:00,7506,44,3
2026-09-15T07:01:07.049777+00:00,7798,45,3
2026-09-15T08:00:33.423775+00:00,8143,45,3
2026-09-15T09:01:05.240159+00:00,8421,45,3
2026-09-15T10:01:10.790554+00:00,8751,47,3
2026-09-15T11:00:43.579570+00:00,8848,47,3
2026-09-15T12:01:01.700705+00:00,8941,49,3
2026-09-15T13:00:49.340082+00:00,9056,49,3
2026-09-15T14:00:59.083231+00:00,9155,50,3
2026-09-15T15:00:35.578477+00:00,9232,50,3
2026-09-15T16:01:49.259281+00:00,9332,51,3
2026-09-15T17:01:05.796592+00:00,9372,51,3
2026-09-15T18:00:56.703575+00:00,9372,51,3
2026-09-15T19:01:29.906277+00:00,9402,51,3
2026-09-15T20:00:42.850083+00:00,9461,51,3
