timestamp,views,likes,comments
2026-09-18T20:01:13.627764+00:00,283,5,2
2026-09-18T21:01:27.446450+00:00,449,14,6
2026-09-18T22:01:11.368092+00:00,1984,21,6
2026-09-18T23:00:55.992555+00:00,3106,25,7
2026-09-19T00:01:15.358686+00:00,3997,28,7
2026-09-19T01:01:11.936760+00:00,5050,31,7
2026-09-19T02:00:57.166639+00:00,6065,32,7
2026-09-19T03:01:04.596049+00:00,6659,33,7
2026-09-19T04:00:20.444840+00:00,7054,36,7
2026-09-19T05:00:25.577765+00:00,7496,36,8
2026-09-19T10:00:19.761690+00:00,8527,38,9
