timestamp,views,likes,comments
2026-09-17T15:01:21.153252+00:00,649,26,6
2026-09-17T16:01:22.861901+00:00,1036,53,20
2026-09-17T17:01:21.351579+00:00,1183,78,24
2026-09-17T18:00:46.754454+00:00,1191,89,26
2026-09-17T19:01:06.725061+00:00,2083,96,27
2026-09-17T20:01:19.981738+00:00,7268,100,40
2026-09-17T21:00:59.379309+00:00,11082,107,40
2026-09-17T22:01:31.036930+00:00,14215,110,40
2026-09-17T23:00:52.848594+00:00,15902,111,31
2026-09-18T00:01:12.769943+00:00,17207,115,31
2026-09-18T01:01:06.005141+00:00,18032,115,31
2026-09-18T02:01:20.093085+00:00,18701,114,32
2026-09-18T03:01:01.290047+00:00,19211,116,33
2026-09-18T04:01:21.348198+00:00,19610,119,33
2026-09-18T05:01:08.909561+00:00,19951,122,34
2026-09-18T06:01:27.798686+00:00,20269,124,35
2026-09-18T07:01:15.047374+00:00,20569,126,35
2026-09-18T08:00:56.614078+00:00,20769,125,35
2026-09-18T09:01:11.639064+00:00,20769,123,35
2026-09-18T10:01:12.181051+00:00,20769,126,35
2026-09-18T11:00:46.195915+00:00,20769,127,35
