timestamp,views,likes,comments
2026-09-18T22:01:11.683135+00:00,5,0,0
2026-09-18T23:00:56.572359+00:00,33,1,0
2026-09-19T00:01:15.661738+00:00,209,2,0
2026-09-19T01:01:12.288815+00:00,637,3,0
2026-09-19T02:00:57.567257+00:00,837,7,0
2026-09-19T03:01:04.410234+00:00,1195,5,0
2026-09-19T04:00:20.018123+00:00,1500,6,0
2026-09-19T05:00:25.120054+00:00,1681,5,0
2026-09-19T10:00:19.344996+00:00,2157,9,0
2026-09-20T00:00:22.038658+00:00,2796,10,0
2026-09-20T01:00:19.703379+00:00,2772,10,0
2026-09-20T02:02:15.162117+00:00,2826,10,0
