timestamp,views,likes,comments
2026-09-15T17:01:07.202255+00:00,80,5,0
2026-09-15T18:00:58.330101+00:00,278,13,0
2026-09-15T19:01:31.626274+00:00,336,16,0
2026-09-15T20:00:44.354336+00:00,336,17,0
2026-09-15T21:01:12.921701+00:00,336,19,0
2026-09-15T22:01:36.426193+00:00,1787,20,0
2026-09-15T23:01:27.945704+00:00,2939,22,0
2026-09-16T00:00:39.167807+00:00,3427,23,0
2026-09-16T01:01:07.232498+00:00,3808,24,0
2026-09-16T02:01:05.570797+00:00,4090,24,0
2026-09-16T03:00:45.444199+00:00,4371,24,0
2026-09-16T04:00:15.498110+00:00,4637,24,0
