timestamp,views,likes,comments
2026-09-18T12:01:23.536549+00:00,158,4,1
2026-09-18T13:01:33.450981+00:00,290,6,1
2026-09-18T14:01:26.833047+00:00,318,10,1
2026-09-18T15:00:52.652386+00:00,323,11,1
2026-09-18T16:01:19.772117+00:00,1582,11,1
2026-09-18T17:01:07.816176+00:00,2540,14,2
2026-09-18T18:01:17.675809+00:00,3166,14,2
2026-09-18T19:01:29.638399+00:00,3607,15,3
2026-09-18T20:01:12.448324+00:00,3949,15,3
2026-09-18T21:01:26.286668+00:00,4184,15,3
2026-09-18T22:01:10.321849+00:00,4404,15,3
2026-09-18T23:00:54.954993+00:00,4498,15,3
2026-09-19T00:01:14.332661+00:00,4524,15,3
2026-09-19T01:01:10.891230+00:00,4565,15,3
2026-09-19T02:00:56.201451+00:00,4572,15,3
2026-09-19T03:01:05.772992+00:00,4662,15,4
2026-09-19T04:00:22.450408+00:00,4676,15,4
2026-09-19T05:00:27.724815+00:00,4676,15,4
2026-09-19T10:00:21.854509+00:00,4778,16,4
2026-09-20T00:00:24.743403+00:00,4996,17,4
2026-09-20T01:00:21.954221+00:00,5025,17,4
2026-09-20T02:02:18.116198+00:00,5024,17,4
2026-09-20T03:00:51.429967+00:00,5025,17,4
2026-09-20T04:00:49.571389+00:00,5045,17,4
2026-09-20T05:00:49.607455+00:00,5045,17,4
2026-09-20T06:01:11.519840+00:00,5047,17,4
2026-09-20T07:01:21.761425+00:00,5088,18,4
2026-09-20T08:01:12.743947+00:00,5107,18,4
2026-09-20T09:00:48.099735+00:00,5107,18,4
2026-09-20T10:01:16.787760+00:00,5107,18,4
2026-09-20T11:01:02.949811+00:00,5162,18,4
2026-09-20T12:00:55.475615+00:00,5184,18,4
2026-09-20T13:01:24.747272+00:00,5184,18,4
2026-09-20T14:00:47.769945+00:00,5184,18,4
2026-09-20T15:01:23.114919+00:00,5225,18,4
2026-09-20T16:01:03.374624+00:00,5225,18,4
2026-09-20T17:01:06.488183+00:00,5225,18,4
2026-09-20T18:01:05.710266+00:00,5259,18,4
2026-09-20T19:01:09.626165+00:00,5259,18,4
2026-09-20T20:00:55.598289+00:00,5259,18,4
2026-09-20T21:01:14.258296+00:00,5259,18,4
2026-09-20T22:01:13.148587+00:00,5298,18,4
