timestamp,views,likes,comments
2026-09-15T20:00:44.670489+00:00,146,7,1
2026-09-15T21:01:13.160166+00:00,329,14,1
2026-09-15T22:01:36.704993+00:00,370,16,1
2026-09-15T23:01:28.143965+00:00,399,19,2
2026-09-16T00:00:39.469364+00:00,431,21,2
2026-09-16T01:01:07.466910+00:00,626,24,2
2026-09-16T02:01:05.958057+00:00,787,26,2
2026-09-16T03:00:45.264699+00:00,1126,26,3
2026-09-16T04:01:03.854522+00:00,1965,30,3
2026-09-16T05:00:40.913788+00:00,2886,33,3
2026-09-16T06:01:13.205382+00:00,4113,33,3
2026-09-16T07:01:11.884420+00:00,5389,35,3
