timestamp,views,likes,comments
2026-09-15T06:00:51.018260+00:00,325,5,3
2026-09-15T07:01:07.232789+00:00,471,12,3
2026-09-15T08:00:33.668015+00:00,1169,13,4
2026-09-15T09:01:05.456520+00:00,1703,14,4
2026-09-15T10:01:11.063821+00:00,3006,16,4
2026-09-15T11:00:43.842313+00:00,3280,17,4
2026-09-15T12:01:01.959449+00:00,3562,21,6
2026-09-15T13:00:49.728689+00:00,4078,25,7
2026-09-15T14:00:59.341181+00:00,4562,27,8
2026-09-15T15:00:35.789585+00:00,5097,32,8
2026-09-15T16:01:49.585338+00:00,5816,32,8
2026-09-15T17:01:06.039463+00:00,6054,30,8
2026-09-15T18:00:57.089937+00:00,6226,30,8
2026-09-15T19:01:30.208543+00:00,6451,31,9
2026-09-15T20:00:43.096546+00:00,7003,32,9
2026-09-15T21:01:11.693792+00:00,7250,32,9
2026-09-15T22:01:35.353057+00:00,7462,32,9
2026-09-15T23:01:26.857057+00:00,7623,33,9
2026-09-16T00:00:38.092396+00:00,7754,35,9
