timestamp,views,likes,comments
2026-09-18T22:01:11.763016+00:00,50,2,1
2026-09-18T23:00:56.664877+00:00,88,3,1
2026-09-19T00:01:15.699762+00:00,669,4,1
2026-09-19T01:01:12.378793+00:00,1031,5,1
2026-09-19T02:00:57.667426+00:00,1268,5,1
2026-09-19T03:01:04.442338+00:00,1852,5,1
2026-09-19T04:00:50.715999+00:00,2167,6,1
2026-09-19T05:01:05.441692+00:00,2390,6,1
2026-09-19T06:01:12.886200+00:00,2548,6,1
2026-09-19T07:01:14.796748+00:00,2700,7,1
2026-09-19T08:01:28.737835+00:00,2822,7,1
2026-09-19T09:00:53.792183+00:00,2941,11,1
2026-09-19T10:00:43.636983+00:00,3093,12,1
2026-09-19T11:01:14.033920+00:00,3162,13,1
2026-09-19T12:01:23.435595+00:00,3270,14,1
2026-09-19T13:01:03.935649+00:00,3320,14,1
2026-09-19T14:01:08.836192+00:00,3497,14,1
2026-09-19T15:00:48.264765+00:00,3591,14,1
2026-09-19T16:01:16.901976+00:00,3704,15,1
2026-09-19T17:00:56.942690+00:00,3820,15,1
