timestamp,views,likes,comments
2026-09-13T15:01:07.398014+00:00,84,2,2
2026-09-13T16:01:17.080821+00:00,314,8,4
2026-09-13T17:01:13.650664+00:00,509,17,6
2026-09-13T18:01:16.039689+00:00,1012,19,6
2026-09-13T19:00:56.703365+00:00,1147,19,7
2026-09-13T20:01:19.938931+00:00,1895,20,7
2026-09-13T21:00:42.036245+00:00,1895,20,7
2026-09-13T22:00:58.688686+00:00,4788,20,7
2026-09-13T23:00:57.894383+00:00,5577,21,7
2026-09-13T23:47:58.396085+00:00,5642,21,9
2026-09-14T00:00:29.391654+00:00,5656,20,9
2026-09-14T01:01:16.401044+00:00,5731,22,9
2026-09-14T02:01:19.759075+00:00,6064,22,9
2026-09-14T03:01:00.284881+00:00,6150,22,10
2026-09-14T04:00:58.273882+00:00,6361,24,11
2026-09-14T05:00:38.336028+00:00,6425,24,11
2026-09-14T06:00:48.869693+00:00,6583,25,11
2026-09-14T07:01:09.752028+00:00,6644,25,11
2026-09-14T08:01:11.708903+00:00,6732,25,11
2026-09-14T09:01:08.774446+00:00,6925,26,11
2026-09-14T10:01:30.180311+00:00,7051,26,11
2026-09-14T11:01:07.480721+00:00,7052,26,11
2026-09-14T12:00:43.706514+00:00,7069,27,12
2026-09-14T13:00:45.711996+00:00,7069,27,12
2026-09-14T14:00:47.330309+00:00,7191,27,14
2026-09-14T15:01:18.115827+00:00,7241,27,14
