timestamp,views,likes,comments
2026-09-21T21:01:05.599106+00:00,799,31,2
2026-09-21T22:00:52.610163+00:00,1526,66,2
2026-09-21T23:00:51.849016+00:00,2835,88,2
2026-09-22T00:01:20.678662+00:00,5067,107,3
2026-09-22T01:01:24.920075+00:00,7215,126,4
2026-09-22T02:01:27.175976+00:00,9497,138,4
2026-09-22T03:01:02.442338+00:00,11020,142,4
2026-09-22T04:00:49.220250+00:00,12366,146,4
2026-09-22T05:01:20.400159+00:00,13432,151,5
2026-09-22T06:00:46.975719+00:00,14244,156,5
2026-09-22T07:01:20.274002+00:00,14767,159,5
2026-09-22T08:01:11.943979+00:00,15285,162,5
