timestamp,views,likes,comments
2026-09-10T00:00:48.249583+00:00,745,25,42
2026-09-10T01:01:04.309999+00:00,1062,27,42
2026-09-10T02:01:15.363008+00:00,1243,27,44
2026-09-10T03:00:48.475495+00:00,3152,28,45
2026-09-10T04:01:17.006831+00:00,4390,30,47
2026-09-10T05:00:59.269702+00:00,5572,31,61
2026-09-10T06:00:56.571439+00:00,5710,31,61
2026-09-10T07:00:38.649404+00:00,5938,32,62
2026-09-10T08:00:50.142429+00:00,6299,32,62
2026-09-10T09:01:05.718028+00:00,6578,33,62
2026-09-10T10:00:45.632893+00:00,6730,34,64
2026-09-10T11:00:34.404252+00:00,6964,35,64
2026-09-10T12:01:24.507825+00:00,6990,33,64
