timestamp,views,likes,comments
2026-09-17T22:01:31.599528+00:00,557,20,2
2026-09-17T23:00:53.673263+00:00,753,33,2
2026-09-18T00:01:13.519008+00:00,1095,50,4
2026-09-18T01:01:06.782273+00:00,1303,72,5
2026-09-18T02:01:20.961023+00:00,2043,91,9
2026-09-18T03:01:02.028096+00:00,4024,103,14
2026-09-18T04:01:22.043822+00:00,5557,117,14
2026-09-18T05:01:09.519051+00:00,9289,121,15
2026-09-18T06:01:28.379061+00:00,12552,124,16
2026-09-18T07:01:15.772076+00:00,15503,126,16
2026-09-18T08:00:57.368807+00:00,17762,126,16
2026-09-18T09:01:12.269616+00:00,19301,126,16
2026-09-18T10:01:12.971311+00:00,20087,127,16
2026-09-18T11:00:46.719468+00:00,20134,129,17
2026-09-18T12:01:22.348830+00:00,20134,135,20
2026-09-18T13:01:32.345040+00:00,20134,140,24
