timestamp,views,likes,comments
2026-09-18T06:01:28.841051+00:00,8,2,0
2026-09-18T07:01:16.379764+00:00,577,22,2
2026-09-18T08:00:57.984935+00:00,850,34,5
2026-09-18T09:01:12.808785+00:00,881,41,6
2026-09-18T10:01:13.419647+00:00,2861,47,7
2026-09-18T11:00:47.104853+00:00,3095,51,7
2026-09-18T12:01:23.010324+00:00,4681,58,10
2026-09-18T13:01:32.988002+00:00,5607,62,10
2026-09-18T14:01:26.246376+00:00,6603,66,10
2026-09-18T15:00:52.037577+00:00,7841,69,11
2026-09-18T16:01:19.159385+00:00,8685,69,11
2026-09-18T17:01:07.395860+00:00,9363,70,11
2026-09-18T18:01:17.135804+00:00,9771,70,11
2026-09-18T19:01:28.995876+00:00,10105,70,11
2026-09-18T20:01:11.788795+00:00,10384,70,11
