timestamp,views,likes,comments
2026-09-20T15:01:24.338999+00:00,1019,64,6
2026-09-20T16:01:04.715477+00:00,3398,166,33
2026-09-20T17:01:07.793532+00:00,6288,309,65
2026-09-20T18:01:07.179873+00:00,9943,403,80
2026-09-20T19:01:10.892514+00:00,22402,446,94
2026-09-20T20:00:56.983173+00:00,31135,479,99
2026-09-20T21:01:15.525874+00:00,40302,501,100
2026-09-20T22:01:14.798807+00:00,45964,518,100
2026-09-20T23:01:15.261926+00:00,47479,518,100
2026-09-21T00:01:20.686462+00:00,48700,525,100
2026-09-21T01:00:49.511854+00:00,49721,533,100
2026-09-21T02:01:18.846709+00:00,50797,546,101
2026-09-21T03:01:19.702053+00:00,52318,566,103
2026-09-21T04:01:33.094932+00:00,54149,597,107
2026-09-21T05:01:08.469679+00:00,56395,618,110
2026-09-21T06:00:56.442841+00:00,58570,637,111
2026-09-21T07:01:14.696774+00:00,61110,668,119
